ProxyMode|3|Route supported requests through the HTTP proxy at the configured host and port. Optional proxy credentials apply to this route.
ProxyMode|4|Route supported connections through the SOCKS5 proxy at the configured host and port. Requires a reachable SOCKS5 server.
UpdateChannel|0|Look for stable releases. Favors published release versions over the latest development builds.
UpdateChannel|1|Look for nightly builds. Gets newer development changes earlier, with a greater chance of regressions than stable releases.
UpdateInterval|0|Do not check automatically at startup. The explicit Check Now command remains available.
UpdateInterval|1|Check whenever f4 starts. Does not create a continuously running update scheduler.
UpdateInterval|2|At startup, check if at least 24 hours have elapsed since the previous check. Keeping f4 open does not trigger another check by itself.
UpdateInterval|3|At startup, check if at least seven days have elapsed since the previous check. This is not a weekly background timer.
envman.Kind|profile|An environment profile contains variable assignments. When enabled, it participates in ordered environment reconciliation after Apply.
envman.Kind|separator|An organizational separator in the profile list. Does not apply variable assignments to the process or shells.
visren.EditorFormat|source_target|Show original and target names together in the rename editor. Easier to compare each proposed name with its source.
visren.EditorFormat|targets_only|Show only target names in the rename editor. More compact and easier to transform as a plain list, but original names are not alongside them.
netfox.Type|ftp|Use FTP. Suitable for FTP servers, but ordinary FTP does not encrypt credentials or file data. Do not assume SSH protection from this protocol.
netfox.Type|sftp|Use the SSH file-transfer subsystem. Encrypts the connection and requires an SSH server with SFTP support.
netfox.Type|fish|Transfer files through commands in a remote SSH shell. Useful when SFTP is unavailable, but requires a compatible remote shell and utilities.
netfox.ProxyMode|0|Use f4's applied global proxy settings for this connection. Later global proxy changes also affect this connection.
cloudfox.storage|keyring|Store credentials in the operating system's keyring. Integrates with the current user's secret store; this is not the portable-profile storage option.
cloudfox.storage|vault|Store credentials in CloudFox's encrypted vault. Used for portable profiles; access follows the vault's unlocking workflow.
cloudfox.credentials|keep|Retain existing secrets and merge nonempty replacements entered in this draft. Blank secret fields do not clear saved credentials.
cloudfox.credentials|replace|Replace the complete saved credential bundle with the entered values. Credentials omitted from the replacement are not retained.
cloudfox.credentials|clear|Explicitly remove all stored credentials for this connection on Apply. Reauthentication may be needed before connecting again.
cloudfox.s3.auth|default|Let the AWS SDK resolve credentials through its default chain. Useful for configured environments or machine roles; the effective identity can come from outside this saved connection.
cloudfox.s3.auth|profile|Use the named AWS profile. Convenient for shared AWS configuration; requires that profile to exist on this machine.
cloudfox.s3.auth|static|Use the explicitly supplied access key, secret key and optional session token. Predictable identity, but expiring credentials must be updated.
cloudfox.s3.auth|anonymous|Send S3 requests without signing them with credentials. Works only for resources that allow anonymous access.
cloudfox.webdav.auth|basic|Authenticate with a username and password using HTTP Basic. Requires protected transport according to the provider's connection policy.
cloudfox.webdav.auth|digest|Use HTTP Digest challenge-response authentication. The server must support it; unencrypted transport requires the separate permission setting.
cloudfox.webdav.auth|bearer|Authenticate with the supplied Bearer token instead of a username/password exchange. Access depends on the token's permissions and lifetime.
cloudfox.webdav.auth|anonymous|Do not send authentication credentials. Use only for WebDAV resources that permit anonymous access.
